invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2018-06-22,1219,52,796,5990,5624.18
2018-06-24,1283,62,757,5699,4149.53
2018-06-25,1870,80,926,11110,6630.2300000000005
2018-06-26,1628,89,872,10113,6192.41
2018-06-27,1942,146,963,10794,7551.75
2018-06-28,1858,99,916,11487,6380.66
2018-06-29,1059,58,641,6394,3350.39
2018-07-01,680,22,463,2640,2285.55
2018-07-02,1953,127,819,11345,6534.12
2018-07-03,1108,63,684,5991,4606.76
2018-07-04,1748,98,926,8759,10098.82
2018-07-05,1348,100,793,7984,6413.42
2018-07-06,916,54,612,4609,3934.59
2018-07-08,708,29,497,2533,2040.46
2018-07-09,1216,66,737,5847,5502.5
2018-07-10,1155,63,749,5500,4796.42
2018-07-11,1442,108,850,7463,6732.91
2018-07-12,1596,104,847,9546,10515.91
2018-07-13,1226,131,776,7619,4453.45
2018-07-15,909,43,597,4949,3065.76
2018-07-16,1448,68,786,8907,-38702.94
2018-07-17,1183,64,673,7135,4311.51
2018-07-18,1282,85,756,7305,5829.62
2018-07-19,1618,105,823,7616,7401.69
2018-07-20,1056,55,671,6382,3531.5099999999998
2018-07-22,1277,59,746,7220,4091.48
2018-07-23,1539,76,827,8852,7229.92
2018-07-24,1046,83,669,6574,3685.8
2018-07-25,1344,86,729,8546,4231.18
2018-07-26,1905,101,912,8700,15094.710000000001
2018-07-27,763,70,517,4630,3234.7
2018-07-29,886,39,583,4113,2734.49
2018-07-30,1203,73,706,7096,6506.47
2018-07-31,1542,85,874,7350,8217.92
2018-08-01,1405,64,856,7879,6210.34
2018-08-02,1366,73,765,7982,3759.7400000000002
2018-08-03,581,59,421,4434,1965.35
2018-08-05,910,47,570,4662,2565.32
2018-08-06,931,77,641,6518,2723.6800000000003
2018-08-07,1779,56,951,7400,7888.82
2018-08-08,1030,54,646,4873,9440.53
2018-08-09,1861,159,953,9887,8283.8
2018-08-10,1526,107,800,8274,6050.4
2018-08-12,1088,64,623,6540,3345.88
2018-08-13,1048,73,702,6215,4089.55
2018-08-14,983,67,644,6945,3225.51
2018-08-15,1629,63,960,8994,5349.29
2018-08-16,1536,84,803,8869,5694.87
2018-08-17,1297,66,803,7976,4733.06
2018-08-19,1382,64,780,8686,4035.42
2018-08-20,1187,62,729,7937,3577.17
2018-08-21,1166,74,703,7957,3730.96
2018-08-22,1652,104,872,10045,6431.42
2018-08-23,1682,101,852,9897,7405.08
2018-08-24,1041,47,700,5193,26783.25
2018-08-26,812,40,484,5043,2302.29
2018-08-28,1783,75,946,8786,10727.48
2018-08-29,1056,84,680,5334,4254.25
2018-08-30,1647,102,865,10002,7891.42
2018-08-31,1070,78,666,5984,4140.12
2018-09-02,814,36,515,4626,2299.51
2018-09-03,1591,72,874,7881,6506.75
2018-09-04,1145,55,721,6775,3955.71
2018-09-05,1102,64,701,6656,3894.2400000000002
2018-09-06,1656,102,882,9634,7377.54
2018-09-07,1028,51,633,5925,3854.04
2018-09-09,1326,49,729,6447,3877.1
2018-09-10,2001,111,999,9731,7963.96
2018-09-11,1294,67,767,7604,4187.84
2018-09-12,1420,93,831,9434,4376.07
2018-09-13,1695,119,934,9837,31232.641
2018-09-14,1162,82,746,6867,4675.4
2018-09-16,1980,60,985,9155,5047.82
2018-09-17,1841,101,972,10816,9563.25
2018-09-18,2476,143,1043,16965,7600.64
2018-09-19,1492,104,703,8993,5626.12
2018-09-20,2010,100,950,13417,5875.57
2018-09-21,1574,87,822,9850,9696.49
2018-09-23,1475,76,757,8448,4287.5
2018-09-24,2317,111,1020,15362,39705.11
2018-09-25,2854,172,1250,16527,10607.97
2018-09-26,1915,133,989,12898,7832.08
2018-09-27,2150,123,991,14843,17434.079999999998
2018-09-28,1764,89,940,9797,7647.0
2018-09-30,2297,90,972,13041,7376.55
2018-10-01,2118,101,1011,13659,7418.0
2018-10-02,2772,206,1185,18305,67819.4
2018-10-03,1302,71,742,9973,4364.98
2018-10-04,3655,160,1384,18568,14566.07
2018-10-05,2034,101,1011,11986,7518.51
2018-10-07,1724,71,897,8924,5314.59
2018-10-08,2511,126,1155,14388,7716.0
2018-10-09,2483,145,1150,15164,8394.68
2018-10-10,2201,103,1044,13373,15595.72
2018-10-11,2078,122,1027,14524,7222.56
2018-10-12,2316,138,1087,13350,28981.03
2018-10-14,2745,80,1124,12913,7633.47
2018-10-15,2850,179,1236,12793,11625.59
2018-10-16,2298,99,1099,12309,8918.39
2018-10-17,2491,122,1092,13319,-29374.97
2018-10-18,2183,120,1076,12243,8692.37
2018-10-19,2266,144,1127,11033,11389.84
2018-10-21,2393,86,1047,11303,7007.84
2018-10-22,1940,106,1021,9980,6069.95
2018-10-23,2548,133,1165,14995,8178.97
2018-10-24,1838,81,967,10362,6331.07
2018-10-25,1650,114,923,8347,15121.56
2018-10-26,1951,90,973,11875,6943.36
2018-10-28,2690,88,1150,12139,7500.81
2018-10-29,2238,108,1162,9740,12516.25
2018-10-30,2368,179,1116,12978,8465.98
2018-10-31,2109,146,1072,11284,7428.76
2018-11-01,3748,219,1414,19350,13655.83
2018-11-02,2010,149,1090,11359,7725.26
2018-11-04,2825,90,1107,13921,7681.84
2018-11-05,2638,124,1240,13649,23464.651
2018-11-06,2917,152,1117,16667,12092.14
2018-11-07,3640,152,1485,17104,12876.59
2018-11-08,3303,192,1302,16838,12538.210000000001
2018-11-09,3065,120,1280,13766,12653.73
2018-11-11,2913,94,1227,11271,8442.9
2018-11-12,3772,133,1426,16584,14324.61
2018-11-13,3361,154,1376,19160,12268.28
2018-11-14,2864,134,1274,14787,10901.541
2018-11-15,2909,122,1218,14069,10845.24
2018-11-16,2599,150,1146,13578,9973.5
2018-11-18,3258,102,1287,14244,8909.710000000001
2018-11-19,3273,105,1341,13769,12726.67
2018-11-20,3651,174,1440,18304,13975.7
2018-11-21,3446,188,1359,15154,14168.15
2018-11-22,3522,181,1247,18905,11789.71
2018-11-23,2610,102,1170,13210,10312.59
2018-11-25,2609,104,1135,10132,7830.08
2018-11-26,3951,125,1534,18232,16431.74
2018-11-27,2416,170,977,15141,7914.2
2018-11-28,6216,143,1351,27791,25808.5
2018-11-29,4218,167,934,26320,13631.36
2018-11-30,4404,108,1156,19040,22228.18
2018-12-02,5450,95,1151,22365,15786.34
2018-12-03,7756,133,1479,29374,35357.56
2018-12-04,5926,111,1295,23401,170304.18
2018-12-05,5294,148,1229,27627,19956.12
2018-12-06,5782,183,1301,25150,29325.26
2018-12-07,2758,91,1270,11716,12825.06
2018-12-09,1451,51,801,5595,3966.23
2018-12-10,2283,84,1172,10737,12388.27
2018-12-11,2087,144,1030,11359,8257.36
2018-12-12,1349,98,773,8513,4819.31
2018-12-13,1790,150,937,12556,5954.72
2018-12-14,3115,72,1372,10249,18131.21
2018-12-16,522,25,392,2542,1640.19
2018-12-17,1763,96,958,7275,8081.79
2018-12-18,1586,66,832,5292,12393.34
2018-12-19,291,22,249,1835,1962.44
2018-12-20,963,38,795,4193,3902.18
2019-01-01,1184,57,833,5614,4326.0199999999995
2019-01-02,1743,76,1023,8458,39220.59
2019-01-03,1832,78,1020,10229,7950.66
2019-01-04,1794,58,1035,10141,5871.85
2019-01-06,1117,51,651,5896,3544.55
2019-01-07,1976,61,1110,9057,7827.63
2019-01-08,1454,84,956,7923,5225.15
2019-01-09,1809,62,1084,7752,7600.88
2019-01-10,1445,51,954,6858,5666.0199999999995
2019-01-11,1510,56,907,8199,6553.24
2019-01-13,646,29,424,2583,1854.5
2019-01-14,2557,55,1214,10421,9782.3
2019-01-15,1447,51,900,5174,6445.36
2019-01-16,1416,43,955,7423,4739.15
2019-01-17,1502,54,963,6837,8156.26
2019-01-18,1594,64,989,7695,6757.13
2019-01-20,879,30,573,3605,2611.96
2019-01-21,1485,61,848,7441,6682.31
2019-01-22,1654,86,893,9179,6644.02
2019-01-23,1289,71,775,6800,5233.19
2019-01-24,1575,88,898,8887,7552.5
2019-01-25,1008,100,662,5707,3995.68
2019-01-27,722,25,488,2934,2321.72
2019-01-28,1509,85,848,7333,6190.13
2019-01-29,1574,86,849,8362,5561.46
2019-01-30,1411,74,802,6722,5978.85
2019-01-31,989,53,604,5602,3817.55
2019-02-01,1232,75,760,6123,6316.53
2019-02-03,279,11,220,1209,799.45
2019-02-04,1261,53,811,5785,5356.04
2019-02-05,1228,58,771,5494,5592.59
2019-02-06,879,31,604,4141,4453.15
2019-02-07,785,66,532,4670,3462.46
2019-02-08,957,95,665,5085,5587.94
2019-02-10,624,24,430,2154,1859.36
2019-02-11,1108,55,721,6222,4374.69
2019-02-12,1335,70,816,7574,7385.13
2019-02-13,1191,69,699,8118,3905.52
2019-02-14,1719,73,878,8501,7810.66
2019-02-15,854,67,613,5240,3084.85
2019-02-17,864,29,595,3472,2721.29
2019-02-18,1425,59,818,8133,17596.670000000002
2019-02-19,1593,64,900,8615,5573.04
2019-02-20,1578,68,862,8022,7190.04
2019-02-21,1294,66,784,8106,5068.53
2019-02-22,978,51,596,7219,3507.94
2019-02-24,812,35,566,3619,2449.63
2019-02-25,1737,61,931,7310,7995.4
2019-02-26,1361,67,845,8008,7259.88
2019-02-27,935,67,550,6053,3467.06
2019-02-28,1389,85,814,7583,5659.09
2019-03-01,1107,56,723,6483,3255.5
2019-03-03,844,35,520,3385,2845.04
2019-03-04,1971,107,1058,7875,10757.98
2019-03-05,1600,61,888,8907,5333.13
2019-03-06,1277,79,778,7158,4801.92
2019-03-07,1131,90,678,7185,3723.9
2019-03-08,959,66,615,5861,10475.69
2019-03-10,537,17,419,2014,1374.63
2019-03-11,1111,61,688,6147,3851.69
2019-03-12,1292,65,728,6931,11141.28
2019-03-13,874,59,588,5766,3178.31
2019-03-14,2074,88,1081,9453,8655.67
2019-03-15,1379,76,788,7240,17046.97
2019-03-17,1453,64,864,7791,5053.79
2019-03-18,1068,69,637,6735,2938.76
2019-03-19,2384,83,1159,9848,10389.57
2019-03-20,1319,88,793,7486,4778.0199999999995
2019-03-21,1577,95,795,9152,4687.93
2019-03-22,1386,67,824,6963,5604.1
2019-03-24,737,46,515,3193,2176.4
2019-03-25,1672,85,904,8599,9699.41
2019-03-26,1983,95,990,11440,9098.14
2019-03-27,1590,118,902,9468,5140.84
2019-03-28,1738,94,895,8885,9091.81
2019-03-29,1261,107,765,7496,4684.35
2019-03-31,731,22,526,2723,1788.16
2019-04-01,1705,81,921,8172,18797.46
2019-04-02,1215,96,751,7075,6221.75
2019-04-03,1122,89,756,5857,3770.26
2019-04-04,1527,81,844,7110,4707.59
2019-04-05,1441,136,884,8736,9002.98
2019-04-07,940,37,637,3996,3110.41
2019-04-08,1259,74,778,8765,3611.43
2019-04-09,1152,81,666,8366,3700.69
2019-04-10,1052,79,675,7484,3022.28
2019-04-11,1608,109,785,10996,5481.55
2019-04-12,1483,57,719,6927,8714.421
2019-04-14,968,44,620,5480,2774.57
2019-04-15,3208,96,1286,10647,12345.27
2019-04-16,1887,75,991,9133,7149.88
2019-04-17,1025,89,603,7680,3238.39
2019-04-18,1930,112,967,9690,9542.42
2019-04-23,1903,86,933,9275,8523.9
2019-04-24,1307,92,801,7837,4271.07
2019-04-25,1192,101,755,7883,4706.13
2019-04-28,452,21,361,2571,1298.41
2019-04-30,1449,126,796,7474,28575.59
2019-05-01,1161,77,702,7857,3593.41
2019-05-02,1838,110,917,10040,6246.54
2019-05-03,2051,113,1037,10686,7276.01
2019-05-05,1506,67,742,7610,4316.8
2019-05-06,1766,84,866,9413,8745.48
2019-05-07,2586,116,941,11692,15484.55
2019-05-08,1701,97,848,10268,5969.6
2019-05-09,1965,106,961,12556,8547.73
2019-05-10,1425,77,782,8670,4957.36
2019-05-12,809,31,575,3552,2277.36
2019-05-13,1609,87,799,9484,20897.62
2019-05-14,1932,121,910,11045,10116.7
2019-05-15,1366,89,729,8818,5320.06
2019-05-16,1949,124,904,11856,7760.89
2019-05-17,1129,90,616,8116,3970.24
2019-05-19,1564,62,881,9437,4596.72
2019-05-20,1646,122,850,8592,12608.92
2019-05-21,1750,101,933,8549,7291.14
2019-05-22,1322,91,715,7278,4553.69
2019-05-23,971,78,558,6209,4279.93
2019-05-24,1170,85,660,6670,5204.24
2019-05-26,632,25,443,2633,1716.09
2019-05-28,1281,62,743,6671,5080.38
2019-05-29,1456,65,826,5626,5831.2
2019-05-30,1588,86,879,7871,7065.06
2019-05-31,858,53,564,4782,3258.41
2019-06-02,1561,70,758,9016,4963.0
2019-06-03,1229,73,748,7083,4730.5
2019-06-04,1926,98,999,9921,6788.25
2019-06-05,2327,113,1051,12288,10794.62
2019-06-06,1850,110,1003,11143,7678.74
2019-06-07,1067,92,670,5859,44471.119999999995
2019-06-09,1075,40,649,4786,3058.84
2019-06-10,1472,87,846,8056,6006.17
2019-06-11,1587,66,880,7104,6435.36
2019-06-12,1718,90,927,8970,7495.18
2019-06-13,1534,107,869,9710,5497.96
2019-06-14,961,62,586,6652,3116.09
2019-06-16,1167,64,724,6987,3447.66
2019-06-17,2020,102,1009,9455,15143.19
2019-06-18,1538,85,874,7367,6712.1900000000005
2019-06-19,1017,68,652,7141,3593.78
2019-06-20,1973,90,971,10522,6436.83
2019-06-21,1039,63,652,6405,15250.81
2019-06-23,708,36,557,2750,2594.11
2019-06-24,1182,61,724,5152,4679.18
2019-06-25,1043,84,647,6805,5266.54
2019-06-26,1358,67,999,6420,4903.17
2019-06-27,1620,80,944,9435,5499.38
2019-06-28,1027,70,607,5539,3570.6
2019-06-30,602,27,423,2534,1793.98
2019-07-01,2200,64,1105,9287,9378.84
2019-07-02,2202,88,1156,10175,9444.64
2019-07-03,1816,77,1004,9264,5157.59
2019-07-04,1940,93,1061,10598,6634.44
2019-07-05,1630,93,929,8121,7447.0
2019-07-07,820,29,604,2840,1976.14
2019-07-08,1515,68,935,8235,4452.78
2019-07-09,1667,66,983,7316,6601.0199999999995
2019-07-10,1618,66,948,8305,15986.32
2019-07-11,1734,91,980,9858,5626.65
2019-07-12,1136,62,848,4900,4796.17
2019-07-14,1248,53,750,6293,3337.94
2019-07-15,2234,107,1207,10147,27456.49
2019-07-16,1667,88,860,11884,5378.42
2019-07-17,2015,75,1059,9630,10977.66
2019-07-18,1570,106,917,10808,6732.06
2019-07-19,1301,58,888,6900,4170.48
2019-07-21,1125,63,654,7177,3185.75
2019-07-22,1946,70,1023,9334,7902.72
2019-07-23,1279,89,792,7614,4167.231
2019-07-24,1259,86,784,7458,3926.12
2019-07-25,1565,125,884,10407,5023.55
2019-07-26,1131,70,688,7552,3631.94
2019-07-28,1271,43,789,7004,3150.26
2019-07-29,1200,51,770,7025,4374.54
2019-07-30,1369,61,862,8492,16374.76
2019-07-31,1560,84,871,9473,4964.93
